secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,option_price,K,days_to_expiration,spindx,S,r,q
108105,18/1/07,SXM.BJ,0,17/2/07,20070116,C,1550000,0,0.1,0,10217,0.108381,0.003819,0.000265,4.488978,-3.353482,32300929,1,0,SXM,BJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.05,1550,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXM.BT,0,17/2/07,20070118,C,1500000,0.1,0.3,640,21140,0.081225,0.017395,0.00134,16.9817,-9.822687,32296037,1,0,SXM,BT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.2,1500,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NA,0,17/2/07,20070118,P,1305000,0.7,1,131,5604,0.178782,-0.030464,0.000975,27.21778,-30.19371,32308756,1,0,SXY,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.85,1305,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NB,0,17/2/07,20070118,P,1310000,0.55,1.05,350,4283,0.17072,-0.030101,0.001011,26.94849,-28.48425,32308755,1,0,SXY,NB,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.8,1310,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NC,0,17/2/07,20070118,P,1315000,0.7,1,10021,2378,0.166295,-0.032492,0.001106,28.7074,-29.49484,32308753,1,0,SXY,NC,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.85,1315,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.ND,0,17/2/07,20070118,P,1320000,0.95,1.1,140,3522,0.165645,-0.038387,0.001273,32.91284,-33.61849,32308757,1,0,SXY,ND,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.025,1320,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NE,0,17/2/07,20070118,P,1325000,1,1.15,365,38806,0.160676,-0.041097,0.001387,34.79021,-34.38446,32303012,1,0,SXY,NE,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.075,1325,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NF,0,17/2/07,20070118,P,1330000,0.95,1.3,420,8184,0.155571,-0.04398,0.001514,36.75026,-35.07193,32352238,1,0,SXY,NF,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.125,1330,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NG,0,17/2/07,20070118,P,1335000,1.1,1.35,75,2586,0.151607,-0.048418,0.001678,39.69981,-36.81658,32352241,1,0,SXY,NG,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.225,1335,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NH,0,17/2/07,20070118,P,1340000,1.35,1.55,1641,9301,0.15021,-0.056414,0.001912,44.82225,-41.07046,32304150,1,0,SXY,NH,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.45,1340,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NI,0,17/2/07,20070118,P,1345000,1.4,1.9,431,5416,0.147554,-0.06397,0.002148,49.45698,-44.37508,32304151,1,0,SXY,NI,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.65,1345,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NJ,0,17/2/07,20070118,P,1350000,1.85,2,10342,31746,0.145731,-0.073682,0.002425,55.15146,-48.71049,32296094,1,0,SXY,NJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.925,1350,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NK,0,17/2/07,20070118,P,1355000,1.85,2.2,194,8202,0.140256,-0.079457,0.002668,58.40873,-49.43478,32304148,1,0,SXY,NK,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,2.025,1355,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NL,0,17/2/07,20070118,P,1360000,2,2.5,4456,16247,0.136574,-0.08878,0.002978,63.48146,-52.08472,32304145,1,0,SXY,NL,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,2.25,1360,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NM,0,17/2/07,20070118,P,1365000,2.25,2.95,4143,9085,0.134231,-0.101599,0.003347,70.11022,-56.27464,32304142,1,0,SXY,NM,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,2.6,1365,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NN,0,17/2/07,20070118,P,1370000,2.8,3.4,482,12447,0.133114,-0.118261,0.003763,78.18339,-61.93391,32311391,1,0,SXY,NN,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,3.1,1370,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NO,0,17/2/07,20070118,P,1375000,3,3.5,3057,47549,0.126885,-0.127898,0.004171,82.59566,-61.93355,32303010,1,0,SXY,NO,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,3.25,1375,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NP,0,17/2/07,20070118,P,1380000,3.5,4.2,1381,14013,0.125433,-0.148084,0.004663,91.27835,-67.23951,32307286,1,0,SXY,NP,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,3.85,1380,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NQ,0,17/2/07,20070118,P,1385000,4,4.7,2016,19277,0.121997,-0.166991,0.005188,98.77694,-70.21443,32307285,1,0,SXY,NQ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,4.35,1385,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NR,0,17/2/07,20070118,P,1390000,4.6,5.4,1175,18509,0.11925,-0.189829,0.005754,107.0839,-73.76093,32307283,1,0,SXY,NR,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,5,1390,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NS,0,17/2/07,20070118,P,1395000,5.3,6.3,1093,4063,0.116933,-0.216386,0.006345,115.7896,-77.44798,32307281,1,0,SXY,NS,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,5.8,1395,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXY.NT,0,17/2/07,20070118,P,1300000,0.65,0.8,275,35170,0.180078,-0.026321,0.000858,24.10064,-26.97254,32296091,1,0,SXY,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.725,1300,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BG,0,17/2/07,20070118,C,1435000,11.3,12.9,5267,23127,0.091425,0.450525,0.010946,156.1889,-114.2594,32309402,1,0,SXZ,BG,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,12.1,1435,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BH,0,17/2/07,20070118,C,1440000,9.2,10,2177,12442,0.088549,0.393283,0.010981,151.7665,-106.1393,32303409,1,0,SXZ,BH,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,9.6,1440,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BI,0,17/2/07,20070118,C,1445000,7,8,2201,9094,0.086346,0.336132,0.010684,143.9824,-96.92155,32303408,1,0,SXZ,BI,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,7.5,1445,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BJ,0,17/2/07,20070118,C,1450000,5.2,5.8,493,48802,0.082634,0.276317,0.010237,132.0285,-84.20775,32296100,1,0,SXZ,BJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,5.5,1450,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BK,0,17/2/07,20070118,C,1455000,3.8,4.4,263,2870,0.081121,0.224112,0.009331,118.1407,-73.10814,32336113,1,0,SXZ,BK,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,4.1,1455,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BL,0,17/2/07,20070118,C,1460000,2.55,3.4,848,12217,0.079687,0.176773,0.008236,102.4318,-61.61079,32307696,1,0,SXZ,BL,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,2.975,1460,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BM,0,17/2/07,20070118,C,1465000,1.8,2.3,5173,5790,0.077778,0.133578,0.007012,85.11324,-49.51219,32305549,1,0,SXZ,BM,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,2.05,1465,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BN,0,17/2/07,20070118,C,1470000,1.1,1.5,1943,13530,0.07508,0.094425,0.005671,66.44787,-37.02399,32307697,1,0,SXZ,BN,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,1.3,1470,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BO,0,17/2/07,20070118,C,1475000,0.7,0.85,968,22706,0.07246,0.062844,0.004313,48.77805,-26.04146,32303013,1,0,SXZ,BO,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.775,1475,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BP,0,17/2/07,20070118,C,1480000,0.3,0.8,1147,11477,0.073257,0.046362,0.003354,38.34383,-20.52601,32353066,1,0,SXZ,BP,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.55,1480,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BQ,0,17/2/07,20070118,C,1485000,0.3,0.5,490,7588,0.074485,0.03464,0.002603,30.26045,-16.34857,32312959,1,0,SXZ,BQ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.4,1485,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BR,0,17/2/07,20070118,C,1490000,0.2,0.4,463,14960,0.076119,0.026399,0.002034,24.15975,-13.24986,32312961,1,0,SXZ,BR,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.3,1490,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.BS,0,17/2/07,20070118,C,1495000,0.1,0.45,50,3644,0.080157,0.02336,0.001743,21.80484,-12.50952,32350225,1,0,SXZ,BS,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.275,1495,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.NA,0,17/2/07,20070118,P,1405000,7.1,8.1,204,7327,0.110909,-0.276626,0.007631,132.1007,-81.67635,32305552,1,0,SXZ,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,7.6,1405,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.NB,0,17/2/07,20070118,P,1410000,8.2,9.1,3061,16915,0.107471,-0.311503,0.00832,139.5479,-82.18561,32305550,1,0,SXZ,NB,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,8.65,1410,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.NC,0,17/2/07,20070118,P,1415000,9.5,10.5,7089,17418,0.104986,-0.351651,0.008937,146.4378,-82.6216,32305546,1,0,SXZ,NC,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,10,1415,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.ND,0,17/2/07,20070118,P,1420000,11.3,11.7,741,14587,0.102208,-0.395151,0.009526,151.9635,-81.4614,32305555,1,0,SXZ,ND,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,11.5,1420,30,1426.37,1426.37,0.05372753,0.01982594
